name,genre
 ...And You Will Know Us by the Trail of Dead ,Indie Rock
 .38 Special ,Classic Rock
" ""Weird Al"" Yankovic ",Novelty
 *NSync ,Pop
 101 Strings Orchestra ,Easy Listening/Vocal
 2 Chainz ,Hip-Hop/Rap
 2 Pistols ,Hip-Hop
 2NE1 ,Hip-Hop/Rap
 2Pac ,Gangsta Rap
 3 Doors Down ,Rock
 3BallMTY ,House
 3kStatic ,Electronic
 3LW ,R&B/Soul
 3OH!3 ,Alternative
 3T ,Soul
 5 Seconds Of Summer ,Pop/Rock
 50 Cent ,Hip-Hop/Rap
 5UP ,Hip-Hop/Rap
 98 Degrees ,Traditional Pop
 A Fine Frenzy ,Rock
 A Flock of Seagulls ,Rock
 A Great Big World ,Pop
 A Rocket to the Moon ,Rock
 A Thousand Horses ,Southern Rock
 a-ha ,Rock
 A.R. Rahman ,World/Reggae
 A$AP Ferg ,Rap
 A$AP Rocky ,Hip-Hop/Rap
 Aaliyah ,R&B/Soul
 Aaron & Amanda Crabb ,Country Gospel
 Aaron Carter ,Pop
 Aaron Lewis ,Contemporary Country
 Aaron Neville ,R&B/Soul
 Aaron Tippin ,Country Blues
 Aaron Watson ,Country
 Ab-Soul ,Hip-Hop/Rap
 ABBA ,Pop
 ABC ,New Wave
 Abida Parveen ,Easy Listening/Vocal
 Above & Beyond ,Dance
 Above the Law ,Hip-Hop/Rap
 Abstract Future ,Electronic
 AC Da' Perfecto ,Hip-Hop/Rap
 AC/DC ,Rock
 Ace Cannon ,Classic Rock
 Ace Hood ,Hip-Hop/Rap
 Acelya ,Pop
 Act As If ,Alternative
 Action Bronson ,Rap
 Action Item ,Pop
 ADA Band ,World/Reggae
 Adam Barta ,Pop/Rock
 Adam Fears ,Alternative Country
 Adam Lambert ,Pop
 Adam Levine ,Alternative
 Adassa ,Latino
 Adele ,Pop
 Adol ,Pop
 Adoniran Barbosa ,Latin
 Aerosmith ,Rock
 AFI ,Alternative
 Afrojack ,Dance
 After 7 ,R&B/Soul
 Afterhours ,Rock
 Against Me! ,Rock
 AGER ,Underground Rap
 Agnes Monica ,Rock
 Aiden ,Pop
 Air Supply ,Pop
 Airbourne ,Rock
 AK1200 ,Electronic/Dance
 Akon ,Hip-Hop/Rap
 Al B. Sure! ,Soul
 Al Green ,R&B/Soul
 Alabama ,Country
 Alabama Shakes ,Rock
 Alan Jackson ,Country
 Alana Davis ,Rock
 Alanis Morissette ,Pop/Rock
 Albert Phillips ,Rock
 Alberto Barros ,Latin
 Aldo Nova ,Classic Rock
 Alejandro Fernández ,Latin
 Alejandro Sanz ,World/International
 Alesana ,Hard Rock
 Alesha Dixon ,Rock
 Alessi's Ark ,Rock
 Alessia Cara ,Pop
 Alex Band ,Pop/Rock
 Alex Bueno ,Latin
 Alexz Johnson ,Singer/Songwriter
 Alice Cooper ,Rock
 Alice in Chains ,Alternative
 Alicia Keys ,R&B/Soul
 Alina Baraz ,Electronic/Dance
 Alison Krauss & Union Station ,Bluegrass
 All Saints ,R&B/Soul
 All Time Low ,Alternative
 All-4-One ,Adult Contemporary
 Allen Stone ,Soul
 Allen Thompson ,Alternative Country
 Allen Toussaint ,R&B/Soul
 Allison Moorer ,Country
 Aloe Blacc ,Soul
 Alpha Blondy ,Reggae
 Alt-J ,Indie Rock
 Alter Bridge ,Rock
 Alvin Slaughter ,Inspirational
 Aly & AJ ,Rock
 AM ,Alternative
 Ambersunshower ,R&B
 Amel Larrieux ,R&B/Soul
 America ,Rock
 Amerie ,R&B/Soul
 Amigos ,World/Reggae
 Amil ,Hip-Hop/Rap
 AminIzrael. ,Hip-Hop
 Amon Amarth ,Rock
 Amy Grant ,Christian Pop
 Amy Millan ,Alternative
 Amy Winehouse ,Soul
 Ana Gabriel ,Latin
 Anastácia ,Pop
 Anastasia ,Hip-Hop/Rap
 And Then There Were Two ,Indie Rock
 Andraé Crouch ,Inspirational
 Andrea Berg ,Pop
 Andrea Bocelli ,World/International
 Andy Bell ,Rock
 Andy Borg ,Rock
 Andy Grammer ,Pop
 Andy Griggs ,Country
 Angaleena Presley ,Country
 Angels Fall ,American Trad Rock
 Anggun ,Rock
 Angie Stone ,R&B/Soul
 Angus & Julia Stone ,Alternative Folk
 Angus Young ,Rock
 Animal Collective ,Alternative
 Anita Baker ,Soul
 Anna Ternheim ,Rock
 Anne Murray ,Country
 Anneliese van der Pol ,Pop
 Annie Lennox ,Pop
 Anthony Hamilton ,R&B/Soul
 Anti-Flag ,Rock
 Antonique Smith ,R&B/Soul
 Antonis Remos ,World/Reggae
 Anvil ,Metal
 Apache Indian ,Pop
 Aphex Twin ,Dance/Electronic
 Apocalyptica ,Modern Composition
 Aram Bedrosian ,Instrumental
 Arashi ,World/Reggae
 Arcade Fire ,Alternative
 Arcangel ,World/Reggae
 Archie Campbell ,Country
 Archive ,Rock
 Arctic Monkeys ,Alternative
 Aretha Franklin ,R&B/Soul
 Ariana Grande ,Pop
 Armin van Buuren ,Trance
 Army of Lovers ,Pop
 Arrested Development ,Hip-Hop
 Arsis ,Rock
 Art Blakey ,Jazz
 Ash Bowers ,Country
 Ashanti ,R&B/Soul
 Asher Roth ,Hip-Hop
 Ashlee Simpson ,Pop
 Ashley Clark ,Country
 Ashley Gearing ,Country
 Ashley Monroe ,Country
 Ashley Tisdale ,Pop
 Asking Alexandria ,Hard Rock
 Asleep at the Wheel ,Traditional Country
 Atmosphere ,Hip-Hop/Rap
 Aubrey Haynie ,Country
 Audioslave ,Alternative
 August Alsina ,R&B/Soul
 Augustana ,Roots Rock
 Augustin Dumay ,Jazz
 Austin Mahone ,Pop
 AVANT ,Soul
 Avenged Sevenfold ,Hard Rock
 Avery Sunshine ,R&B/Soul
 Avicii ,Dance/Electronic
 Avion Dre ,Hip-Hop
 Avril Lavigne ,Pop
 AWOLNATION ,Alternative
 AZ ,Hip-Hop/Rap
 Azealia Banks ,Rap
 B. Howard ,Pop
 B.G. ,Hip-Hop/Rap
 B.J. Thomas ,Country
 B.o.B ,Hip-Hop/Rap
 B2K ,Hip-Hop/Rap
 Baba Sehgal ,Hip-Hop
 Babes in Toyland ,Alternative
 Baby Bash ,Hip-Hop
 Babyface ,R&B/Soul
 Babyface Benji ,Hip-Hop/Rap
 Back Door Slam ,Rock
 Backstreet Boys ,Pop
 Bad Company ,Classic Rock
 Baha Men ,World/International
 Ballyhoo! ,Alternative
 Banda El Recodo ,Latin
 Banda Los Recoditos ,Latin
 Banda Ms ,Latin
 Bank Notes ,Hip-Hop/Rap
 BANKS ,Alternative
 Barbara Mandrell ,Country
 Barbra Streisand ,Pop
 Barenaked Ladies ,Adult Alternative
 Barry Gibb ,Alternative
 Barry Manilow ,Adult Contemporary
 Barry White ,Soul
 Bart Crow ,Alternative Country
 Basia Bulat ,Rock
 Bastille ,Alternative
 Bat for Lashes ,Rock
 Bavarian Radio Symphony Orchestra ,Classical
 Bay City Rollers ,Classic Rock
 Bea Miller ,Pop
 Beacon ,Electronic/Dance
 Beanie Sigel ,Hip-Hop/Rap
 Beastie Boys ,Punk
 Beck ,Alternative
 Becky G ,Pop
 Bee Gees ,Disco
 Beenie Man ,Dancehall
 Before You Exit ,Pop/Rock
 Bei Bei ,Alternative Rap
 Belanova ,Rock
 Belinda Carlisle ,Rock
 Bell Biv DeVoe ,R&B/Soul
 Belle and Sebastian ,Rock
 Ben Haenow ,Rock
 Ben Harper ,R&B/Soul
 Ben Howard ,Contemporary Singer/Songwriter
 Benjamin Booker ,Rock
 Benny Benassi ,House
 Benny Mardones ,Rock
 Beres Hammond ,Soul
 Berlin ,Pop/Rock
 Best Coast ,Indie Rock
 Beth Orton ,Rock
 Bette Midler ,Pop
 Better Than Ezra ,Rock
 Betty Hutton ,Soundtracks/Musicals
 Betty Wright ,R&B/Soul
 Between California and Summer ,Alternative
 Beyoncé ,Pop
 Biddu ,R&B
 Biffy Clyro ,Alternative
 Big Al Downing ,Rock
 big and rich ,Country
 Big Chief (Rock) ,Alternative
 Big Freedia ,Dance
 BIG K.R.I.T ,Hip-Hop
 Big Punisher ,Hip-Hop/Rap
 Big SMO ,Country
 Big Time Rush ,Pop
 BigBang ,Hip-Hop/Rap
 BigDawg Chino ,Hip-Hop/Rap
 Bilal ,Soul
 Bill & Gloria Gaither ,Inspirational
 Bill Anderson ,Traditional Country
 Bill Carlisle ,Country
 Bill Keith ,Country
 Bill Medley ,Soul
 Bill Monroe ,Country
 Bill Withers ,Soul
 Billie Holiday ,Jazz
" Billy ""Crash"" Craddock ",Country
 Billy Butler ,Dance/Electronic
 Billy Currington ,Country
 Billy Dean ,Country
 Billy Don Burns ,Country
 Billy Gilman ,Country
 Billy Grammer ,Country
 Billy Idol ,Punk
 Billy Joe Royal ,Country
 Billy Joe Shaver ,Country
 Billy Joel ,Rock
 Billy Montana ,Country
 Billy Ocean ,Rock
 Billy Paul ,Soul
 Billy Ray Cyrus ,Country
 Billy Squier ,Rock
 Billy Walker ,Country
 Bim Skala Bim ,Rock
 Biosphere ,Electronic/Dance
 Birdman ,Hip-Hop/Rap
 Birdy ,Indie Rock
 Björk ,Rock
 Black Box ,House
 Black Box Revelation ,Rock & Roll
 Black Eyed Peas ,Hip-Hop/Rap
 Black M ,Rock
 Black Rebel Motorcycle Club ,Alternative
 Black Sabbath ,Metal
 Black Stone Cherry ,Southern Rock
 Black Veil Brides ,Rock
 BLACKBEAR ,R&B/Soul
 Blackberry Smoke ,Outlaw Country
 Blackstreet ,R&B/Soul
 Blake Shelton ,Country
 Bleed the Dream ,Alternative
 Blind Fury ,Hip-Hop/Rap
 Blindside ,Rock
 blink-182 ,Rock
 Bloc Party ,Indie Rock
 Bloka Bloka Boyz ,Hip-Hop/Rap
 Blondie ,New Wave
 Bloodhound Gang ,Rock
 Blue Man Group ,Rock
 Blue Scholars ,Rock
 Blur ,Indie Rock
 Bob Dylan ,Rock
 Bob Marley ,Ska
 Bob Seger ,Rock
 Bobbie Gentry ,Country
 Bobby Bare ,Country
 Bobby Barnett ,Country
 Bobby Brown ,R&B/Soul
 Bobby Goldsboro ,Pop
 Bobby Konders & Massive Sounds ,Electronic/Dance
 Bobby Shmurda ,Hip-Hop
 Bobby Wood ,Country
 Body Count ,Hard Rock
 Bohemia ,Indian Pop
 Bohemia The Punjabi Rapper ,Hip-Hop/Rap
 Bon Iver ,Rock
 Bon Jovi ,Rock & Roll
 Bone Thugs-n-Harmony ,Hip-Hop/Rap
 Boney M ,Disco
 Bonnie Raitt ,Americana
 Bonnie Tyler ,Pop
 Boo-Yaa T.R.I.B.E. ,Hip-Hop/Rap
 Borgore ,Dance
 Born Ruffians ,Rock
 Boston ,Rock
 Bottleneck ,Alternative Country
 Bounty Killer ,Hip Hop
 Bow Wow ,Hip-Hop/Rap
 Boxcar Willie ,Country
 Boy & Bear ,Indie Rock
 Boy Kill Boy ,Alternative
 Boy Meets Girl ,Pop
 Boyce Avenue ,Rock
 Boys Like Girls ,Rock
 Boys Noize ,Electronic
 Boyz II Men ,R&B/Soul
 Boz Scaggs ,R&B/Soul
 BR5-49 ,Alternative
 Brad Paisley ,Country
 Braddy ,Hip-Hop/Rap
 Bradley Gaskin ,Country
 Brady Seals ,Country
 Braids ,Rock
 Branch and Dean ,Country
 Brand New ,Rock
 Brandi Carlile ,Singer/Songwriter
 Brandon Michael ,Pop
 Brandy ,R&B/Soul
 BRANDY CLARK ,Alternative Country
 Brantley Gilbert ,Contemporary Country
 Bratz ,Rock
 Breakfast Club ,Pop
 Breaking Benjamin ,Rock
 Breathe Carolina ,Rock
 Brenda Lee ,Country
 Brendan James ,Easy Listening/Vocal
 Brent Cobb ,Country
 Brett Dennen ,Adult Contemporary
 Brett Eldredge ,Country
 Brett Young ,Contemporary Country
 Brian Collins ,Country
 Brian Davis ,Alternative Country
 Brian Eno ,Rock
 Brian McKnight ,R&B/Soul
 Brian Nightingale ,R&B/Soul
 Brian Van Meter ,Pop/Rock
 Brian Wilson ,Rock
 Bridgit Mendler ,Pop
 Bright Eyes ,Rock
 Bring Me the Horizon ,Metal
 Britney Spears ,Pop
 Britt Nicole ,Pop
 Bro5 ,Pop/Rock
 Brolin ,Electronic
 Bronski Beat ,Alternative
 Brook Benton ,R&B/Soul
 Brooke Eden ,Contemporary Country
 Brooke Hogan ,Pop
 Brooke White ,Rock
 Brooks & Dunn ,Country
 Brothers Osborne ,Country
 Bruce Robison ,Country
 Bruce Springsteen ,Rock
 Bruno Mars ,Pop/Rock
 BRUUS ,Hip-Hop/Rap
 Bryan Ferry ,Rock
 Bryan Mayer ,Country
 Bryan White ,Country
 Brynn Marie ,Country
 Bryson Tiller ,R&B
 Bubba Sparxxx ,Country
 Buckethead ,Rock
 Bucks Fizz ,Rock
 Bucky Covington ,Country
 Buddy Guy ,Blues/Folk
 Buddy Holly ,Rock
 Buddy Miller ,Country
 Buggles ,Rock
 Bugz bacardi ,Gangsta Rap
 Buju Banton ,Reggae
 Bunny Wailer ,Reggae
 Burning Spear ,Reggae
 Burt Bacharach ,Pop
 Bury Your Dead ,Rock
 Bush ,Rock
 Busta Rhymes ,Hip-Hop/Rap
 Buster Poindexter ,R&B/Soul
 Busy Signal ,Dancehall
 Butthole Surfers ,Rock
 Bynoe ,Hip-Hop/Rap
 Ca$h Out ,Hip-Hop
 Cage (Rap) ,Hip-Hop/Rap
 Cage the Elephant ,Rock
 Caitlyn Smith ,Country
 Cake ,Rock
 Calibre 50 ,Latin
 Calle 13 ,World/Reggae
 Calvin Harris ,Pop
 Calvin Richardson ,Headbangers Ball
 Cam ,Country
 Cam'ron ,Comics and Games
 Cameo ,Soul
 Cameron The Public ,Rock
 Camila ,Latin
 Canaan Smith ,Country
 Candlebox ,Rock
 Canibus ,Hip-Hop/Rap
 Canned Heat ,Rock
 Capleton ,Reggae
 Captain Fathom ,Rock
 Carl Thomas ,Hip-Hop/Rap
 Carlos Santana ,Jazz
 Carlos y José ,Latin
 Carly Rae Jepsen ,Pop
 Carman ,Christian & Gospel
 Carole King ,Pop
 Carolina Chocolate Drops ,Blues/Folk
 Carolina Liar ,Alternative
 Carpenters ,Pop
 Carrie Smith ,Jazz
 Carrie Underwood ,Country
 Cascada ,Dance/Electronic
 Casey Donahew Band ,Country
 Casey James ,Country
 Cassadee Pope ,Country
 Cassandra Wilson ,Cool
 Cassie ,Hip-Hop
 Casting Crowns ,Christian & Gospel
 Cat Power ,Indie Rock
 Cat Stevens ,Rock
 Cattle Decapitation ,Metal
 CeCe Winans ,R&B/Soul
 Cee-Lo Green ,R&B/Soul
 Celia Cruz ,World/International
 Céline Dion ,Pop
 Celtic Woman ,World/Reggae
 Cerrito ,Country
 Chad Kroeger ,Comics and Games
 Chad Mitchell ,Blues/Folk
 Chairlift ,Rock
 Chaka Khan ,Contemporary R&B
 Chance the Rapper ,Hip-Hop/Rap
 Chanel West Coast ,West Coast Rap
 Chanté Moore ,R&B/Soul
 Charice ,Rock
 Charles Aznavour ,French
 Charles Esten ,Country
 Charley Pride ,Country
 Charli Baltimore ,Hip-Hop/Rap
 Charli XCX ,Pop
 Charlie Allen ,Country
 Charlie Daniels ,Country
 Charlie Puth ,Pop
 Charlie Robison ,Country
 Charlie Simpson ,Rock
 Charlie Walker ,Country
 Charlie Worsham ,Country
 Charlotte Church ,Pop
 Charly McClain ,Country
 Chartbusters ,Jazz
 Chase & Status ,Electronic
 Chase Bryant ,Country
 Chase Rice ,Country
 Chayanne ,World/International
 Chayshaun ,Hip-Hop
 Cheap Trick ,Rock
 Cheezy and the Crackers ,Easy Listening
 Chelsea Grin ,Metal
 Chely Wright ,Country
 Cher ,Pop
 Cher Lloyd ,Teen Pop
 Cherish ,Rock
 Cheryl Pepsii Riley ,Soul
 Chet Atkins ,Country
 Chet Faker ,Alternative
 Chicago ,Pop/Rock
 Chico DeBarge ,Pop
 Chief Keef ,Hip-Hop
 Childish Gambino ,Hip-Hop
 Chingo Bling ,Hip-Hop
 Chipmunk ,Hip-Hop
 Chonda Pierce ,Inspirational
 Chris Brown ,Pop
 Chris Cagle ,Country
 Chris Cornell ,Rock
 Chris Hicks ,Rock
 Chris Isaak ,Rock
 Chris Janson ,Country
 Chris Knight ,Country
 Chris LeDoux ,Country
 Chris Martin ,Rock
 Chris Pellnat ,Alternative Folk
 Chris Rea ,Classic Rock
 Chris Rene ,Hip-Hop
 Chris Stapleton ,Country
 Chris Tomlin ,Praise & Worship
 Chris Webby ,Hip-Hop
 Chris Young ,Contemporary Country
 Chrisette Michele ,Hip-Hop
 Christian Daniel ,Latin
 Christian Kane ,Country
 Christina Aguilera ,Pop
 Christina Milian ,R&B/Soul
 Christina Perri ,Pop/Rock
 Christine ,Pop
 Christopher Cross ,Pop
 Christopher Thomas Holt ,Contemporary Country
 Chromeo ,Electronic
 Chubby Checker ,Classic Rock
 Chuck Berry ,Rock
 Chuck Ragan ,Alternative
 Chuck Wicks ,Country
 Chvrches ,Electronica
 Ciara ,Pop
 Cimorelli ,Pop
 Cinderella ,Rock
 City Haze ,Hip-Hop/Rap
 Claire ,Alternative
 Clare Dunn ,Country
 Clarence Carter ,R&B/Soul
 Clarence Clemons ,Pop
 Claude King ,Country
 Clay Aiken ,Pop
 Clay Walker ,Country
 Clean Bandit ,Electronic
 Cledus T. Judd ,Country
 Cliff Richard ,Classic Rock
 Clinic ,Indie Rock
 Clint Black ,Country
 Clipse ,Hip-Hop/Rap
 Clive Williams ,Rock
 Club Nouveau ,R&B/Soul
 Clutch ,Rock & Roll
 Coal Chamber ,Rock
 Cobra Starship ,Alternative
 Coco Lee ,R&B/Soul
 Cocoband ,Latin
 CocoRosie ,Comics and Games
 Colbie Caillat ,Pop
 Cold ,Rock
 Cold War Kids ,Alternative
 Coldplay ,Rock
 Cole Swindell ,Country
 Collective Soul ,Rock
 Collie Buddz ,R&B
 Collin Raye ,Country
 Color Me Badd ,R&B/Soul
 Colt Ford ,Country
 Colton James ,Contemporary Country
 Common Kings ,Rock
 Con Hunley ,Traditional Country
 Conejo ,Hip-Hop/Rap
 Conjunto Primavera ,Tejano/TexMex
 Connie Francis ,Pop
 Connie Smith ,Country
 Connor Christian & Southern Gothic ,Outlaw Country
 CONOR MAYNARD ,Pop
 Converge ,Metal
 Conway Twitty ,Country
 Copeland ,Indie Rock
 Corb Lund ,Alternative Country
 Corey Smith ,Alternative Country
 Corinne Bailey Rae ,Pop
 Cory Wells ,Rock
 Counting Crows ,Rock
 Courtney Love ,Rock
 Cowboy Troy ,Country
 Craig Campbell ,Country
 Craig Morgan ,Country
 Cranium ,Metal
 Crate Logic ,Hip-Hop
 Crazy Frog ,Comedy/Spoken Word
 Crazy Town ,Rock
 Cream ,Rock
 Creed ,Rock
 Creedence Clearwater Revival ,Rock
 Crooked X ,Rock
" Crosby, Stills & Nash ",Rock
" Crosby, Stills, Nash & Young ",Rock
 Cross Canadian Ragweed ,Country
 CRU ,Hip-Hop
 Crystal Bowersox ,Americana
 Crystal Gayle ,Country
 Crystal Waters ,House
 Culture Club ,New Wave
 Curtis Braly ,Contemporary Country
 Cyndi Lauper ,Rock
 Cyndi Thomson ,Country
 Cypress Hill ,Hip-Hop/Rap
 D'Angelo ,R&B/Soul
 D12 ,Hip-Hop
 Da Blast ,Hip-Hop/Rap
 Da Brat ,Hip-Hop/Rap
 Daddy Yankee ,World/International
 Daft Punk ,Dance
 Dailey & Vincent ,Country
 Daisy Mallory ,Contemporary Country
 Dale Evans ,Country
 Daler Mehndi ,Indian
 Daley ,Neo-Soul
 Dallas Austin ,R&B
 Damien Escobar ,Hip-Hop
 Damien Jurado ,Folk-Rock
 Dan + Shay ,Country
 Dan Hill ,Pop
 Dan Seals ,Country
 Dan Tyminski ,Blues/Folk
 Daniel Powter ,Rock
 Danielle Bradbery ,Country
 Danielle Peck ,Contemporary Country
 Danity Kane ,Alternative
 Danny Brown ,Hip-Hop/Rap
 Darius Rucker ,Country
 Darren Espanto ,Pop
 Darren Hayes ,Rock
 Darryl Worley ,Country
 Daryl Hall ,Soul
 Daryle Singletary ,Country
 Dashboard Confessional ,Rock
 Daughtry ,Rock
 Dave East ,Rap
 Dave Gahan ,Rock
 Dave Navarro ,Rock
 David Adam Byrnes ,Contemporary Country
 David Allan Coe ,Country
 David Allen Mayfield ,Alternative Country
 David Archuleta ,Rock
 David Ball ,Country
 David Bisbal ,Latin
 David Bowie ,Glam Rock
 David Cook ,Pop/Rock
 David Gates ,Pop
 David Grisman ,Jazz
 David Guetta ,Electronic
 David Kersh ,Country
 David Nail ,Country
 Dazz Band ,Funk
 De La Soul ,Hip-Hop
 Dead Ringer Band ,Country
 Dean Brody ,Country
 Dean Martin ,Jazz
 Dean Miller ,Contemporary Country
 Deana Carter ,Contemporary Country
 Death Cab for Cutie ,Alternative
 Deep Purple ,Rock
 Def Leppard ,British Invasion
 Deftones ,Metal
 Deitrick Haddon ,Inspirational
 Dej Loaf ,Hip-Hop
 Delbert McClinton ,Blues/Folk
 Demi Lovato ,Pop
 Dennis Brown ,Reggae
 Deorro ,Dance
 Descendents ,Punk
 Destiny's Child ,R&B/Soul
 Dev ,Pop
 Devo ,Rock
 Devonte Riley ,R&B/Soul
 Diamond Rings ,Alternative
 Diamond Rio ,Country
 Diana Krall ,Jazz
 Diana Ross ,R&B/Soul
 Dick Dale ,Rock
 Diddy ,Hip-Hop/Rap
 Dido ,Alternative
 Die Antwoord ,Hip-Hop
 Dierks Bentley ,Country
 Dillon Hodges ,Americana
 Dima Bilan ,Rock
 Dionne Warwick ,Soul
 Diplo ,Dance
 Dir en grey ,Rock
 Dire Straits ,Rock
 Disturbed ,Metal
 Dixie Chicks ,Country
 DJ Antoine ,Electronic/Dance
 DJ Kasualmadness ,Electronic
 DJ Khaled ,Hip-Hop
 DJ Mustard ,Hip-Hop
 DJ OMIS ,Singer/Songwriter
 DJ Palash ,House
 DJ Quik ,Hip-Hop/Rap
 DJ Rap ,Dance
 DJ Screw ,Hip-Hop/Rap
 DJ Snake ,Dance
 DMT MAESTRA ,Gangsta Rap
 DMX ,Hip-Hop/Rap
 Doc Watson ,Blues/Folk
 Dolly Parton ,Country
 Don Henley ,Rock
 Don Moen ,Inspirational
 Don Omar ,Reggaeton y Hip-Hop
 Don Rich ,Country
 Don Williams ,Country
 Donna Fargo ,Country
 Donna Summer ,Disco
 Donnie McClurkin ,R&B/Soul
 Dottie West ,Country
 Doug Stone ,Country
 Dove Cameron ,Rock
 dove night ,Rock
 Dr. Dre ,Hip-Hop/Rap
 Dr. Hook ,Classic Rock
 Draaco Aventura ,Pop Latino
 Drake ,Hip-Hop/Rap
 Drake Bell ,Pop/Rock
 Dream ,Pop
 Drew Baldridge ,Country
 Dru Hill ,R&B/Soul
 Dry Cell ,Metal
 Duffy ,Rock
 Duke Ellington ,Jazz
 Duran Duran ,New Wave
 Dustin Lynch ,Country
 Dwight Yoakam ,Country
 E-40 ,Hip-Hop/Rap
 E.M.S ,Hip-Hop/Rap
 Eagles ,Rock
 Earl Hines ,Jazz
 Earl Thomas Conley ,Country
 Earl van Dyke ,R&B/Soul
" Earth, Wind & Fire ",R&B/Soul
 Easton Corbin ,Traditional Country
 Eazy-E ,Hip-Hop/Rap
 Echosmith ,Alternative
 Eclipxica ,Pop/Rock
 Ed Bruce ,Country
 Ed Roman ,Folk-Rock
 Ed Sheeran ,Singer/Songwriter
 Eddie Lee Jones And Family ,Blues/Folk
 Eddie Murphy ,Pop
 Eddie Vedder ,Alternative
 Eddy Arnold ,Country
 Edens Edge ,Country
 Edward Sharpe & the Magnetic Zeros ,Indie Rock
 El Chapo de Sinaloa ,Latin
 El DeBarge ,Pop
 Elaine Faye ,Soul
 Elbow ,Alternative
 Electric Light Orchestra ,Rock
 Electronic ,Alternative
 Elephant Man ,Hip-Hop/Rap
 Eli Young Band ,Country
 Elizabeth Cook ,Outlaw Country
 Ella Henderson ,Rock
 Elle King ,Alternative
 Ellie Goulding ,Pop
 Elmedyn ,Electronic
 Elton Britt ,Country
 Elton John ,Pop/Rock
 Elvis Costello ,Rock
 Elvis Crespo ,World/International
 Elvis Presley ,Rock
 EMA ,Rock
 Emancipator ,Electronic
 Emeli Sandé ,Pop
 Emerson Drive ,Country
 Emily West ,Country
 Eminem ,Rap
 Emmylou Harris ,Blues/Folk
 Empire Cast ,Hip-Hop
 Empire of the Sun ,Alternative
 En Vogue ,R&B/Soul
 Engelbert Humperdinck ,Jazz
 Enrique Iglesias ,Pop
 Enya ,World
 Erasure ,House
 Eric Benét ,R&B/Soul
 Eric Church ,Country
 Eric Clapton ,Blues-Rock
 Eric Heatherly ,Country
 Eric Van Houten ,Country
